2023-08-25 02:26:48.3879|0|INFO|Program|Инициализация программы |url: |action: |Program.<Main>$| body: 
2023-08-25 02:26:50.0031|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-25 02:26:50.0031|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-25 02:26:50.0031|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-25 02:26:59.8635|0|INFO|AppleStore.Service.Implementations.OrderService|Все заказы добавлены в кэш |url: https://localhost/Admin/Order/GetOrders|action: GetOrders|AppleStore.Service.Implementations.OrderService.GetOrders| body: 
2023-08-25 02:27:00.0224|0|INFO|AppleStore.Service.Implementations.OrderService|Получение всех девайсов из кэша |url: https://localhost/Admin/Order/GetOrders|action: GetOrders|AppleStore.Service.Implementations.OrderService.GetOrders| body: 
2023-08-25 02:29:25.2182|0|INFO|AppleStore.Service.Implementations.OrderService|Получение всех девайсов из кэша |url: https://localhost/Admin/Order/GetOrders|action: GetOrders|AppleStore.Service.Implementations.OrderService.GetOrders| body: 
2023-08-25 02:29:25.3436|0|INFO|AppleStore.Service.Implementations.OrderService|Получение всех девайсов из кэша |url: https://localhost/Admin/Order/GetOrders|action: GetOrders|AppleStore.Service.Implementations.OrderService.GetOrders| body: 
2023-08-25 02:29:52.4335|0|INFO|AppleStore.Service.Implementations.OrderService|Получение всех девайсов из кэша |url: https://localhost/Admin/Order/GetOrders|action: GetOrders|AppleStore.Service.Implementations.OrderService.GetOrders| body: 
2023-08-25 02:29:52.5714|0|INFO|AppleStore.Service.Implementations.OrderService|Получение всех девайсов из кэша |url: https://localhost/Admin/Order/GetOrders|action: GetOrders|AppleStore.Service.Implementations.OrderService.GetOrders| body: 
2023-08-25 02:30:04.6835|0|INFO|AppleStore.Service.Implementations.OrderService|Успешное получение заказа |url: https://localhost/Admin/Order/Edit/1|action: Edit|AppleStore.Service.Implementations.OrderService.GetById| body: 
2023-08-25 02:30:04.8445|0|INFO|AppleStore.Service.Implementations.OrderService|Успешное получение заказа |url: https://localhost/Admin/Order/Edit/1|action: Edit|AppleStore.Service.Implementations.OrderService.GetById| body: 
2023-08-25 02:30:07.3263|0|INFO|AppleStore.Service.Implementations.OrderService|Получение всех девайсов из кэша |url: https://localhost/Admin/Order/GetOrders|action: GetOrders|AppleStore.Service.Implementations.OrderService.GetOrders| body: 
2023-08-25 02:32:14.4643|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/1|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-08-25 02:32:14.5860|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/1|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-08-25 02:32:26.1674|0|ERROR|AppleStore.Controllers.Account.AccountController|Авторизация прошла неуспешно : пользователь не найден |url: https://localhost/Account/Login|action: Login|AppleStore.Controllers.Account.AccountController.Login| body: 
2023-08-25 02:32:55.0703|0|INFO|AppleStore.Controllers.Account.AccountController|Зареган |url: https://localhost/Account/Register|action: Register|AppleStore.Controllers.Account.AccountController.Register| body: 
