2023-08-08 00:35:44.0151|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-08 00:35:45.7255|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-08 00:37:00.9990|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-08 00:37:12.7654|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-08 00:37:13.1820|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 00:37:13.1820|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 00:37:13.2018|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-08 00:37:14.8322|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-08 00:39:10.9837|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-08 00:39:21.6959|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-08 00:39:21.9852|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 00:39:21.9852|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 00:39:21.9852|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-08 00:39:23.4106|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-08 00:40:02.0905|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-08 00:40:13.8430|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-08 00:40:14.2196|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 00:40:14.2196|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 00:40:14.2196|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-08 00:40:15.6695|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-08 00:40:32.2602|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-08 00:41:26.7902|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-08 00:41:27.1200|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 00:41:27.1200|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 00:41:27.1200|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-08 00:41:28.6912|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-08 00:41:42.9896|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-08 00:41:53.5228|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-08 00:41:53.9212|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 00:41:53.9212|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 00:41:53.9212|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-08 00:41:55.5230|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-08 00:42:08.5763|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-08 01:05:14.2185|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-08 01:05:14.4813|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 01:05:14.4813|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 01:05:14.4813|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-08 01:05:16.3228|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-08 01:05:49.3157|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-08-08 14:07:03.0267|0|DEBUG|Program|Init |url: |action: |Program.<Main>$| body: 
2023-08-08 14:07:03.2277|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 14:07:03.2277|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-08 14:07:03.2277|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-08 14:07:04.3364|0|DEBUG|AppleStore.Controllers.Device.DeviceController|Catalog open |url: https://localhost/|action: Catalog|AppleStore.Controllers.Device.DeviceController.Catalog| body: 
2023-08-08 14:07:06.9147|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/Details/1|action: Details|AppleStore.Controllers.Order.OrderController.Details| body: 
2023-08-08 14:07:08.5947|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder/1|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-08-08 14:07:13.4776|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное создание заказа |url: https://localhost/Order/PlaceOrder/1|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
