2023-09-21 14:34:47.5179|0|INFO|Program|Инициализация программы |url: |action: |Program.<Main>$| body: 
2023-09-21 14:34:48.0468|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-21 14:34:48.0468|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-21 14:34:48.0468|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-09-21 14:35:39.5590|0|INFO|AppleStore.Controllers.Account.AccountController|Зареган |url: https://localhost/Account/Register|action: Register|AppleStore.Controllers.Account.AccountController.Register| body: 
2023-09-21 14:35:52.6240|0|INFO|AppleStore.Controllers.Account.AccountController|Пользователь lox12334 Авторизовался успешно |url: https://localhost/Account/Login|action: Login|AppleStore.Controllers.Account.AccountController.Login| body: 
2023-09-21 14:36:00.1053|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/5|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-09-21 14:36:03.0707|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/6|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-09-21 14:36:06.9989|0|INFO|AppleStore.Service.Implementations.DeviceService|Все девайсы добавлены в кэш |url: https://localhost/Cart/GetCart|action: GetCart|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-09-21 14:38:14.1536|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Cart/GetCart|action: GetCart|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-09-21 14:38:15.6653|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-09-21 14:38:15.6653|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-09-21 14:38:24.8710|0|INFO|AppleStore.Service.Implementations.OrderService|Успешное создание заказа |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Service.Implementations.OrderService.CreateOrder| body: 
2023-09-21 14:38:24.8710|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное создание заказа |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-09-21 14:39:12.3711|0|INFO|Program|Инициализация программы |url: |action: |Program.<Main>$| body: 
2023-09-21 14:39:12.7281|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-21 14:39:12.7281|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-21 14:39:12.7281|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-09-21 14:40:52.5192|0|INFO|AppleStore.Controllers.Account.AccountController|Пользователь lox12334 Авторизовался успешно |url: https://localhost/Account/Login|action: Login|AppleStore.Controllers.Account.AccountController.Login| body: 
2023-09-21 14:41:19.0840|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
