2023-08-09 18:03:08.3999|0|INFO|Program|Инициализация программы |url: |action: |Program.<Main>$| body: 
2023-08-09 18:03:09.0991|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-09 18:03:09.0991|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-09 18:03:09.1024|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-09 18:03:12.9485|0|INFO|AppleStore.Service.Implementations.DeviceService|Успешное получение девайсов |url: https://localhost/|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-09 18:03:13.4654|0|INFO|AppleStore.Service.Implementations.DeviceService|Успешное получение девайсов |url: https://localhost/|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-09 18:03:25.3480|0|INFO|AppleStore.Service.Implementations.DeviceService|Успешное получение девайсов |url: https://localhost/Device/Catalog/2|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-09 18:03:25.4974|0|INFO|AppleStore.Service.Implementations.DeviceService|Успешное получение девайсов |url: https://localhost/Device/Catalog/2|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-09 18:03:27.2911|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/Details/-1/3|action: Details|AppleStore.Controllers.Order.OrderController.Details| body: 
2023-08-09 18:03:27.5796|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/Details/-1/3|action: Details|AppleStore.Controllers.Order.OrderController.Details| body: 
2023-08-09 18:03:29.9642|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder/-1/3|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-08-09 18:03:30.3155|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder/-1/3|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-08-09 18:03:33.1465|0|INFO|AppleStore.Service.Implementations.DeviceService|Успешное получение девайсов |url: https://localhost/Device/Catalog/-1|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-09 18:03:33.4056|0|INFO|AppleStore.Service.Implementations.DeviceService|Успешное получение девайсов |url: https://localhost/Device/Catalog/-1|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-09 18:03:39.1650|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
