2023-09-19 13:40:17.7347|0|INFO|Program|Инициализация программы |url: |action: |Program.<Main>$| body: 
2023-09-19 13:40:18.0956|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-19 13:40:18.0956|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-19 13:40:18.0956|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-09-19 13:40:48.0761|0|INFO|AppleStore.Controllers.Account.AccountController|Зареган |url: https://localhost/Account/Register|action: Register|AppleStore.Controllers.Account.AccountController.Register| body: 
2023-09-19 13:40:55.8333|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/5|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-09-19 13:40:56.0820|0|INFO|AppleStore.Controllers.Device.DeviceController|Успешное получение Девайса из базы данных |url: https://localhost/Device/Details/-1/5|action: Details|AppleStore.Controllers.Device.DeviceController.Details| body: 
2023-09-19 13:41:04.9120|0|INFO|AppleStore.Service.Implementations.DeviceService|Все девайсы добавлены в кэш |url: https://localhost/Cart/GetCart|action: GetCart|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-09-19 13:41:05.0718|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Cart/GetCart|action: GetCart|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-09-19 13:41:54.7744|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-09-19 13:41:54.7744|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-09-19 13:41:55.0495|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-09-19 13:41:55.0495|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-09-19 13:42:05.7307|0|INFO|AppleStore.Service.Implementations.OrderService|Успешное создание заказа |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Service.Implementations.OrderService.CreateOrder| body: 
2023-09-19 13:42:05.7307|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное создание заказа |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-09-19 13:42:06.0048|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-09-19 13:42:06.0048|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
