2023-08-13 23:15:42.5771|0|INFO|Program|Инициализация программы |url: |action: |Program.<Main>$| body: 
2023-08-13 23:15:42.9881|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-13 23:15:42.9881|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-08-13 23:15:42.9881|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\AppleStore\AppleStore |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-08-13 23:15:44.9002|0|INFO|AppleStore.Service.Implementations.DeviceService|Все девайсы добавлены в кэш |url: https://localhost/|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:15:45.9024|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:15:52.6052|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/0|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:15:52.8424|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/0|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:15:55.0129|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/2|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:15:55.1843|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/2|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:15:56.8392|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/3|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:15:57.0480|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/3|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:15:58.5737|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/1|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:15:58.7881|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/1|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:16:00.9182|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/Details/-1/2|action: Details|AppleStore.Controllers.Order.OrderController.Details| body: 
2023-08-13 23:16:01.3460|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/Details/-1/2|action: Details|AppleStore.Controllers.Order.OrderController.Details| body: 
2023-08-13 23:16:04.1425|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/-1|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:16:04.4624|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/-1|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:16:06.0436|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/1|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:16:06.1845|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/1|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:16:07.3612|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/Details/-1/2|action: Details|AppleStore.Controllers.Order.OrderController.Details| body: 
2023-08-13 23:16:07.6707|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/Details/-1/2|action: Details|AppleStore.Controllers.Order.OrderController.Details| body: 
2023-08-13 23:16:10.3996|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder/-1/2|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-08-13 23:16:10.8852|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder/-1/2|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-08-13 23:16:26.1043|0|INFO|AppleStore.Service.Implementations.OrderService|Успешное создание заказа |url: https://localhost/Order/PlaceOrder/-1/2|action: PlaceOrder|AppleStore.Service.Implementations.OrderService.CreateOrder| body: 
2023-08-13 23:16:26.1043|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное создание заказа |url: https://localhost/Order/PlaceOrder/-1/2|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-08-13 23:16:26.3380|0|INFO|AppleStore.Controllers.Order.OrderController|Успешное получение Девайса из базы данных |url: https://localhost/Order/PlaceOrder/-1/2|action: PlaceOrder|AppleStore.Controllers.Order.OrderController.PlaceOrder| body: 
2023-08-13 23:16:28.0885|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:16:28.3065|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:18:43.9688|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/2|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:18:44.1199|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/2|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:19:02.4977|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/0|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:19:02.6243|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/0|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:19:08.5950|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/1|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:19:08.8071|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/1|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:19:10.9196|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/2|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:19:11.0745|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/2|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:19:17.3516|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/3|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:19:17.5549|0|INFO|AppleStore.Service.Implementations.DeviceService|Получение всех девайсов из кэша |url: https://localhost/Device/Catalog/3|action: Catalog|AppleStore.Service.Implementations.DeviceService.GetDevices| body: 
2023-08-13 23:19:47.1841|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
